ViPhOG	Best_taxon	Rank	Max_evalue
ViPhOG20819	Gammacoronavirus	Genus	0.0
ViPhOG25861	Betaentomopoxvirus	Genus	1.9e-17
ViPhOG2595	Whispovirus	Genus	1.5e-51
ViPhOG2786	Whispovirus	Genus	6.9e-54
ViPhOG30716	Ithacavirus	Genus	6.1e-07
ViPhOG27962	Teseptimavirus	Genus	1.9e-18
ViPhOG10436	Firehammervirus	Genus	2e-210
ViPhOG20662	Alphabaculovirus	Genus	3.1e-31
ViPhOG11467	Betabaculovirus	Genus	3.6e-06
ViPhOG13022	Schizotequatrovirus	Genus	2.1e-41
ViPhOG26388	Vidavervirus	Genus	6.9e-62
ViPhOG21779	Pecentumvirus	Genus	6.1e-86
ViPhOG106	Roseolovirus	Genus	5.7e-73
ViPhOG25765	Alphabaculovirus	Genus	5.6e-50
ViPhOG13002	Schizotequatrovirus	Genus	1.3e-87
ViPhOG10341	Firehammervirus	Genus	4.3e-36
ViPhOG18306	Proboscivirus	Genus	2.3e-70
ViPhOG10122	Cytomegalovirus	Genus	8.5e-28
ViPhOG30714	Ithacavirus	Genus	6e-16
ViPhOG21020	Agatevirus	Genus	1.8e-51
ViPhOG14041	Omegavirus	Genus	9.3e-31
ViPhOG2886	Whispovirus	Genus	1.8e-51
ViPhOG10408	Firehammervirus	Genus	0.0
ViPhOG27690	Pahexavirus	Genus	3.5e-41
ViPhOG4355	Cyprinivirus	Genus	3.7e-07
ViPhOG14807	Mardivirus	Genus	4.7e-43
ViPhOG17174	Alphabaculovirus	Genus	5.6e-32
ViPhOG11464	Betabaculovirus	Genus	3.2e-25
ViPhOG22151	Betabaculovirus	Genus	9.3e-46
ViPhOG22162	Betabaculovirus	Genus	3.4e-19
ViPhOG2686	Whispovirus	Genus	3.6e-39
ViPhOG24661	Lubbockvirus	Genus	6.8e-22
ViPhOG31122	Cequinquevirus	Genus	8.5e-19
ViPhOG25912	Betaentomopoxvirus	Genus	3.4e-75
ViPhOG4191	Cyprinivirus	Genus	3.1e-21
ViPhOG22170	Betabaculovirus	Genus	6e-29
ViPhOG10407	Firehammervirus	Genus	3.1e-33
ViPhOG23905	Emdodecavirus	Genus	2.3e-57
ViPhOG9054	Macavirus	Genus	6.8e-18
ViPhOG25888	Betaentomopoxvirus	Genus	1.4e-43
ViPhOG29365	Homburgvirus	Genus	6.3e-41
ViPhOG23420	Gordtnkvirus	Genus	6.2e-113
ViPhOG25886	Betaentomopoxvirus	Genus	2.6e-82
ViPhOG27628	Chlorovirus	Genus	7.4e-26
ViPhOG25276	Chlorovirus	Genus	1.4e-36
ViPhOG22185	Betabaculovirus	Genus	5.2e-49
ViPhOG23949	Emdodecavirus	Genus	6.7e-65
ViPhOG29171	Certrevirus	Genus	7e-40
ViPhOG30704	Ithacavirus	Genus	3e-63
ViPhOG20238	Marseillevirus	Genus	1.8e-16
ViPhOG27578	Oshimavirus	Genus	1.2e-76
ViPhOG8989	Cytomegalovirus	Genus	5e-97
ViPhOG19469	Pandoravirus	Genus	1.9e-28
ViPhOG11437	Betabaculovirus	Genus	9.1e-33
ViPhOG22141	Betabaculovirus	Genus	1.1e-74
ViPhOG2153	Whispovirus	Genus	1.1e-142
ViPhOG2726	Whispovirus	Genus	3.6e-46
ViPhOG24370	Betabaculovirus	Genus	7.9e-92
ViPhOG2750	Whispovirus	Genus	4.6e-67
ViPhOG26593	Krischvirus	Genus	1e-25
ViPhOG4238	Cyprinivirus	Genus	1.5e-268
ViPhOG25853	Betaentomopoxvirus	Genus	2.6e-73
ViPhOG1398	Rhadinovirus	Genus	3.1e-19
ViPhOG30931	Fromanvirus	Genus	4.3e-35
ViPhOG18378	Proboscivirus	Genus	2.3e-41
ViPhOG24356	Acadianvirus	Genus	3.2e-18
ViPhOG22034	Alphabaculovirus	Genus	2.6e-34
ViPhOG19437	Pandoravirus	Genus	3.2e-86
ViPhOG2628	Whispovirus	Genus	4.8e-54
ViPhOG18547	Siminovitchvirus	Genus	2.3e-52
ViPhOG8961	Cytomegalovirus	Genus	1.2e-68
ViPhOG27791	Betalipothrixvirus	Genus	3.5e-05
ViPhOG2760	Whispovirus	Genus	7.7e-47
ViPhOG15625	Iltovirus	Genus	2.9e-43
ViPhOG30705	Ithacavirus	Genus	6.1e-38
ViPhOG4234	Cyprinivirus	Genus	7.3e-19
ViPhOG22494	Percavirus	Genus	1e-150
ViPhOG18603	Siminovitchvirus	Genus	1.5e-128
ViPhOG6434	Waikavirus	Genus	5.6e-30
ViPhOG30265	Alcyoneusvirus	Genus	1.5e-48
ViPhOG2364	Whispovirus	Genus	7.7e-64
ViPhOG9848	Leporipoxvirus	Genus	1.8e-23
ViPhOG2703	Whispovirus	Genus	9.1e-66
ViPhOG17191	Alphabaculovirus	Genus	1.4e-30
ViPhOG2942	Betanudivirus	Genus	3.7e-218
ViPhOG9240	Betacarmovirus	Genus	4.1e-124
ViPhOG31113	Pecentumvirus	Genus	8.1e-57
ViPhOG2804	Whispovirus	Genus	6.9e-47
ViPhOG2871	Whispovirus	Genus	3.6e-22
ViPhOG4211	Cyprinivirus	Genus	1.2e-64
ViPhOG21979	Corndogvirus	Genus	1.8e-41
ViPhOG28709	Chloriridovirus	Genus	3.4e-38
ViPhOG4395	Cyprinivirus	Genus	3.9e-38
ViPhOG20034	Marseillevirus	Genus	3.6e-20
ViPhOG27623	Chlorovirus	Genus	3.3e-47
ViPhOG25230	Chlorovirus	Genus	6.3e-34
ViPhOG2908	Whispovirus	Genus	7.4e-72
ViPhOG24030	Emdodecavirus	Genus	1.4e-77
ViPhOG28011	Barnyardvirus	Genus	1.8e-55
ViPhOG25134	Chlorovirus	Genus	3.4e-52
ViPhOG11266	Leporipoxvirus	Genus	2.1e-32
ViPhOG30134	Phicbkvirus	Genus	6.7e-84
ViPhOG30195	Caeruleovirus	Genus	3.7e-33
ViPhOG18503	Siminovitchvirus	Genus	4.6e-71
ViPhOG14815	Mardivirus	Genus	5.5e-34
ViPhOG30855	Helsingorvirus	Genus	3e-30
ViPhOG23944	Emdodecavirus	Genus	4e-58
ViPhOG10075	Mastadenovirus	Genus	1.5e-59
ViPhOG2577	Whispovirus	Genus	2.7e-52
ViPhOG10336	Firehammervirus	Genus	4.4e-27
ViPhOG2935	Betanudivirus	Genus	2.5e-139
ViPhOG29366	Homburgvirus	Genus	7.9e-36
ViPhOG10384	Firehammervirus	Genus	4.6e-18
ViPhOG2910	Whispovirus	Genus	3.3e-98
ViPhOG26386	Vidavervirus	Genus	8e-54
ViPhOG21821	Cyprinivirus	Genus	6.2e-98
ViPhOG26390	Vidavervirus	Genus	6.1e-67
ViPhOG29207	Certrevirus	Genus	4.7e-34
ViPhOG26794	Casadabanvirus	Genus	6e-56
ViPhOG23239	Schizotequatrovirus	Genus	1.6e-36
ViPhOG2806	Whispovirus	Genus	5.7e-43
ViPhOG28708	Chloriridovirus	Genus	7.8e-53
ViPhOG18888	Alphabaculovirus	Genus	5.4e-31
ViPhOG23102	Kuravirus	Genus	1.3e-51
ViPhOG2699	Whispovirus	Genus	7.7e-53
ViPhOG15645	Iltovirus	Genus	8e-273
ViPhOG23257	Slashvirus	Genus	3.4e-35
ViPhOG30864	Helsingorvirus	Genus	9e-73
ViPhOG11910	Slopekvirus	Genus	1.6e-33
ViPhOG28763	Chloriridovirus	Genus	4.1e-60
ViPhOG28786	Seunavirus	Genus	4.7e-27
ViPhOG30821	Helsingorvirus	Genus	1.5e-31
ViPhOG25139	Chlorovirus	Genus	3.5e-16
ViPhOG24135	Emdodecavirus	Genus	1.9e-39
ViPhOG23475	Gordtnkvirus	Genus	1.4e-199
ViPhOG2887	Whispovirus	Genus	1e-154
ViPhOG16229	Schizotequatrovirus	Genus	3.9e-114
ViPhOG27447	Alphabaculovirus	Genus	8.1e-10
ViPhOG10379	Firehammervirus	Genus	7.5e-77
ViPhOG25873	Betaentomopoxvirus	Genus	4.5e-34
ViPhOG25197	Chlorovirus	Genus	1.9e-37
ViPhOG9795	Alphabaculovirus	Genus	1e-37
ViPhOG9792	Alphabaculovirus	Genus	2.4e-49
ViPhOG23915	Emdodecavirus	Genus	3.7e-29
ViPhOG27098	Gammabaculovirus	Genus	5.6e-57
ViPhOG24898	Phikmvvirus	Genus	1.9e-42
ViPhOG30827	Helsingorvirus	Genus	8.6e-66
ViPhOG25939	Yatapoxvirus	Genus	3.4e-22
ViPhOG6632	Varicellovirus	Genus	1.4e-73
ViPhOG22124	Cyprinivirus	Genus	4.2e-154
ViPhOG10476	Firehammervirus	Genus	9.4e-58
ViPhOG10452	Firehammervirus	Genus	6.3e-48
ViPhOG25920	Betaentomopoxvirus	Genus	2.3e-34
ViPhOG25851	Betaentomopoxvirus	Genus	1.6e-15
ViPhOG29659	Seunavirus	Genus	1.4e-36
ViPhOG20174	Marseillevirus	Genus	9.1e-46
ViPhOG19427	Pandoravirus	Genus	2.1e-10
ViPhOG30658	Betaentomopoxvirus	Genus	1.8e-39
ViPhOG29275	Limdunavirus	Genus	1.6e-33
ViPhOG2868	Whispovirus	Genus	2.5e-52
ViPhOG2816	Whispovirus	Genus	6.6e-45
ViPhOG23918	Emdodecavirus	Genus	4.9e-59
ViPhOG2757	Whispovirus	Genus	4.9e-52
ViPhOG16463	Alphacoronavirus	Genus	2.1e-103
ViPhOG12726	Mastadenovirus	Genus	1.9e-10
ViPhOG24000	Emdodecavirus	Genus	1.1e-80
ViPhOG9881	Muromegalovirus	Genus	1.5e-31
ViPhOG2753	Whispovirus	Genus	7.2e-75
ViPhOG23906	Emdodecavirus	Genus	1.1e-41
ViPhOG21550	Gamaleyavirus	Genus	1.3e-20
ViPhOG2670	Whispovirus	Genus	5.3e-43
ViPhOG18894	Pandoravirus	Genus	4.1e-53
ViPhOG10389	Firehammervirus	Genus	4e-62
ViPhOG9692	Simiispumavirus	Genus	3.6e-158
ViPhOG2770	Whispovirus	Genus	1.3e-49
ViPhOG27940	Fromanvirus	Genus	4.3e-36
ViPhOG13024	Schizotequatrovirus	Genus	5.1e-29
ViPhOG22184	Betabaculovirus	Genus	1.4e-66
ViPhOG30837	Helsingorvirus	Genus	1.8e-26
ViPhOG12082	Alphabaculovirus	Genus	0.00017
ViPhOG14826	Mardivirus	Genus	1.3e-38
ViPhOG2692	Whispovirus	Genus	1e-79
ViPhOG2700	Whispovirus	Genus	9.4e-57
ViPhOG23458	Gordtnkvirus	Genus	6.4e-28
ViPhOG30846	Helsingorvirus	Genus	1.3e-91
ViPhOG20097	Marseillevirus	Genus	5.1e-54
ViPhOG13101	Schizotequatrovirus	Genus	4.6e-28
ViPhOG30843	Helsingorvirus	Genus	4.6e-60
ViPhOG23115	Kochikohdavirus	Genus	1.3e-24
ViPhOG8891	Cytomegalovirus	Genus	2e-42
ViPhOG25781	Betabaculovirus	Genus	1.4e-22
ViPhOG27303	Alphasphaerolipovirus	Genus	7.8e-33
ViPhOG25883	Betaentomopoxvirus	Genus	7.2e-106
ViPhOG27291	Alphasphaerolipovirus	Genus	1.6e-50
ViPhOG10473	Firehammervirus	Genus	3.1e-180
ViPhOG26955	Lessievirus	Genus	5.2e-58
ViPhOG10772	Rhadinovirus	Genus	3.8e-37
ViPhOG25161	Chlorovirus	Genus	1.1e-30
ViPhOG21035	Agatevirus	Genus	9.1e-31
ViPhOG2865	Whispovirus	Genus	8.1e-86
ViPhOG2767	Whispovirus	Genus	1.2e-48
ViPhOG18555	Siminovitchvirus	Genus	1.2e-29
ViPhOG16755	Tulanevirus	Genus	4.5e-05
ViPhOG26538	Xipdecavirus	Genus	8.1e-44
ViPhOG26404	Vidavervirus	Genus	5.4e-41
ViPhOG28133	Nyavirus	Genus	1.4e-118
ViPhOG2902	Whispovirus	Genus	1.6e-28
ViPhOG19259	Pandoravirus	Genus	0.00018
ViPhOG10409	Firehammervirus	Genus	6e-116
ViPhOG30224	Ithacavirus	Genus	6e-34
ViPhOG22121	Cyprinivirus	Genus	2.3e-11
ViPhOG3220	Alphabaculovirus	Genus	2.6e-66
ViPhOG20112	Marseillevirus	Genus	5e-07
ViPhOG2580	Whispovirus	Genus	4.7e-27
ViPhOG30226	Ithacavirus	Genus	6.1e-40
ViPhOG2811	Whispovirus	Genus	5.4e-45
ViPhOG27122	Gammabaculovirus	Genus	1.3e-35
ViPhOG18377	Proboscivirus	Genus	8.2e-59
ViPhOG18026	Andromedavirus	Genus	6.4e-05
ViPhOG2839	Whispovirus	Genus	5e-53
ViPhOG27471	Chloriridovirus	Genus	7e-31
ViPhOG25977	Atadenovirus	Genus	8e-26
ViPhOG1864	Detrevirus	Genus	6.1e-36
ViPhOG12521	Soymovirus	Genus	9.4e-25
ViPhOG23290	Slashvirus	Genus	5.5e-47
ViPhOG2822	Whispovirus	Genus	3.3e-57
ViPhOG25870	Betaentomopoxvirus	Genus	9.3e-55
ViPhOG27262	Phietavirus	Genus	2.5e-33
ViPhOG9428	Phietavirus	Genus	9.1e-55
ViPhOG2842	Whispovirus	Genus	1.4e-35
ViPhOG2796	Whispovirus	Genus	7.2e-57
ViPhOG22158	Betabaculovirus	Genus	2.1e-16
ViPhOG10109	Cytomegalovirus	Genus	8.4e-34
ViPhOG24545	Gelderlandvirus	Genus	2.1e-55
ViPhOG2892	Whispovirus	Genus	2.6e-46
ViPhOG9388	Mardivirus	Genus	4.7e-07
ViPhOG19183	Pandoravirus	Genus	2.5e-20
ViPhOG18351	Proboscivirus	Genus	3.1e-05
ViPhOG20192	Marseillevirus	Genus	3e-19
ViPhOG23274	Slashvirus	Genus	9.3e-20
ViPhOG25849	Betaentomopoxvirus	Genus	9.7e-11
ViPhOG6518	Megalocytivirus	Genus	2.1e-42
ViPhOG20138	Marseillevirus	Genus	6e-13
ViPhOG15453	Mimivirus	Genus	3.1e-33
ViPhOG28068	Okubovirus	Genus	2.6e-58
ViPhOG28740	Chloriridovirus	Genus	2.7e-09
ViPhOG25887	Betaentomopoxvirus	Genus	3.3e-32
ViPhOG10740	Ostreavirus	Genus	1.6e-105
ViPhOG22144	Betabaculovirus	Genus	7.1e-31
ViPhOG23841	Kochikohdavirus	Genus	5e-142
ViPhOG11888	Slopekvirus	Genus	5.2e-28
ViPhOG2697	Whispovirus	Genus	2.9e-48
ViPhOG9024	Cytomegalovirus	Genus	1.1e-64
ViPhOG13032	Schizotequatrovirus	Genus	4.3e-26
ViPhOG20676	Alphabaculovirus	Genus	2.9e-50
ViPhOG21024	Agatevirus	Genus	2.2e-48
ViPhOG4216	Cyprinivirus	Genus	9.9e-144
ViPhOG24090	Emdodecavirus	Genus	9e-52
ViPhOG4374	Cyprinivirus	Genus	0.00033
ViPhOG4286	Cyprinivirus	Genus	7.5e-16
ViPhOG22503	Percavirus	Genus	2.9e-107
ViPhOG2803	Whispovirus	Genus	2e-79
ViPhOG24092	Emdodecavirus	Genus	6.7e-48
ViPhOG24080	Emdodecavirus	Genus	3e-63
ViPhOG30524	Gelderlandvirus	Genus	1.3e-37
ViPhOG8926	Cytomegalovirus	Genus	4.1e-130
ViPhOG25864	Betaentomopoxvirus	Genus	1.6e-32
ViPhOG2671	Whispovirus	Genus	1.1e-45
ViPhOG17782	Mimivirus	Genus	1.7e-26
ViPhOG25895	Betaentomopoxvirus	Genus	0.0002
ViPhOG14916	Fromanvirus	Genus	8e-26
ViPhOG23483	Gordtnkvirus	Genus	1.5e-141
ViPhOG16464	Alphacoronavirus	Genus	2.8e-47
ViPhOG24051	Emdodecavirus	Genus	1.8e-47
ViPhOG19402	Pandoravirus	Genus	6.2e-05
ViPhOG24071	Emdodecavirus	Genus	2.5e-61
ViPhOG18328	Proboscivirus	Genus	3.5e-13
ViPhOG18070	Andromedavirus	Genus	1.1e-18
ViPhOG23976	Emdodecavirus	Genus	1.9e-32
ViPhOG2738	Whispovirus	Genus	3.4e-37
ViPhOG9813	Alphabaculovirus	Genus	3.5e-33
ViPhOG9783	Alphabaculovirus	Genus	9.5e-184
ViPhOG4278	Cyprinivirus	Genus	1.2e-130
ViPhOG29114	Certrevirus	Genus	6.6e-32
ViPhOG21813	Cyprinivirus	Genus	1.4e-40
ViPhOG23054	Kuravirus	Genus	1.6e-34
ViPhOG2828	Whispovirus	Genus	1.2e-144
ViPhOG13205	Mimivirus	Genus	3.1e-40
ViPhOG30517	Gelderlandvirus	Genus	3.4e-39
ViPhOG28100	Dhillonvirus	Genus	1.2e-33
ViPhOG9415	Mardivirus	Genus	8e-05
ViPhOG23450	Gordtnkvirus	Genus	4.2e-50
ViPhOG25922	Betaentomopoxvirus	Genus	5.6e-62
ViPhOG24089	Emdodecavirus	Genus	1.7e-49
ViPhOG13033	Schizotequatrovirus	Genus	2.5e-66
ViPhOG27280	Phietavirus	Genus	1.2e-124
ViPhOG6495	Mardivirus	Genus	4.8e-77
ViPhOG25880	Betaentomopoxvirus	Genus	1.7e-34
ViPhOG15312	Sputnikvirus	Genus	6e-79
ViPhOG17273	Panicovirus	Genus	2.5e-24
ViPhOG4048	Muromegalovirus	Genus	1.7e-75
ViPhOG2772	Whispovirus	Genus	2.6e-59
ViPhOG30861	Helsingorvirus	Genus	5e-85
ViPhOG20431	Marseillevirus	Genus	3.7e-34
ViPhOG27104	Gammabaculovirus	Genus	4e-26
ViPhOG16372	Rhadinovirus	Genus	1.3e-34
ViPhOG2751	Whispovirus	Genus	1.1e-60
ViPhOG23261	Slashvirus	Genus	4.8e-38
ViPhOG16409	Fromanvirus	Genus	4.8e-37
ViPhOG27534	Cheoctovirus	Genus	2.7e-77
ViPhOG2688	Whispovirus	Genus	2e-40
ViPhOG22644	Gaprivervirus	Genus	1.3e-06
ViPhOG30892	Chloriridovirus	Genus	6.5e-33
ViPhOG3167	Alphabaculovirus	Genus	2.6e-25
ViPhOG29368	Homburgvirus	Genus	1.1e-48
ViPhOG23839	Kochikohdavirus	Genus	9.2e-43
ViPhOG6532	Megalocytivirus	Genus	3.6e-49
ViPhOG19219	Pandoravirus	Genus	2.5e-55
ViPhOG4371	Cyprinivirus	Genus	2.3e-49
ViPhOG19536	Pandoravirus	Genus	5.1e-172
ViPhOG27741	Krischvirus	Genus	6.6e-24
ViPhOG27123	Nucleorhabdovirus	Genus	2.7e-145
ViPhOG23985	Emdodecavirus	Genus	2.2e-85
ViPhOG19597	Pandoravirus	Genus	3.7e-22
ViPhOG1000	Iflavirus	Genus	1.7e-130
ViPhOG3399	Avipoxvirus	Genus	3.6e-29
ViPhOG19120	Pandoravirus	Genus	2.1e-26
ViPhOG18994	Pandoravirus	Genus	3.1e-33
ViPhOG23490	Gordtnkvirus	Genus	2.1e-41
ViPhOG2331	Whispovirus	Genus	7.1e-43
ViPhOG19057	Pandoravirus	Genus	9.5e-28
ViPhOG17555	Mimivirus	Genus	8.3e-33
ViPhOG995	Kafunavirus	Genus	9.9e-09
ViPhOG30920	Coopervirus	Genus	0.00038
ViPhOG2777	Whispovirus	Genus	2e-50
ViPhOG19133	Pandoravirus	Genus	2.5e-24
ViPhOG19191	Pandoravirus	Genus	7.7e-77
ViPhOG25351	Chlorovirus	Genus	2e-33
ViPhOG2600	Whispovirus	Genus	7.3e-43
ViPhOG22622	Gaprivervirus	Genus	1.3e-65
ViPhOG14369	Fromanvirus	Genus	1.7e-48
ViPhOG27950	Barnyardvirus	Genus	3.9e-61
ViPhOG2683	Whispovirus	Genus	1.6e-59
ViPhOG2705	Whispovirus	Genus	3.6e-42
ViPhOG10437	Firehammervirus	Genus	3e-87
ViPhOG26641	Krischvirus	Genus	6.9e-19
ViPhOG19003	Pandoravirus	Genus	1.6e-49
ViPhOG19201	Pandoravirus	Genus	1.4e-44
ViPhOG12367	Tequatrovirus	Genus	7.4e-20
ViPhOG19194	Pandoravirus	Genus	0.0
ViPhOG25770	Betabaculovirus	Genus	4.2e-29
ViPhOG19598	Pandoravirus	Genus	9.1e-71
ViPhOG26686	Krischvirus	Genus	1.1e-36
ViPhOG30832	Helsingorvirus	Genus	1.8e-43
ViPhOG968	Kafunavirus	Genus	1.6e-21
ViPhOG29344	Homburgvirus	Genus	7.2e-71
ViPhOG19200	Pandoravirus	Genus	0.00047
ViPhOG19126	Pandoravirus	Genus	5.3e-93
ViPhOG14818	Mardivirus	Genus	3.4e-16
ViPhOG4350	Cyprinivirus	Genus	8.7e-40
ViPhOG2722	Whispovirus	Genus	1.5e-57
ViPhOG27008	Avipoxvirus	Genus	6.6e-53
ViPhOG14421	Omegavirus	Genus	4e-49
ViPhOG18997	Pandoravirus	Genus	4.2e-82
ViPhOG29333	Homburgvirus	Genus	4.8e-50
ViPhOG4316	Cyprinivirus	Genus	7.9e-181
ViPhOG2651	Whispovirus	Genus	1.3e-136
ViPhOG19089	Pandoravirus	Genus	2.2e-86
ViPhOG9849	Leporipoxvirus	Genus	8.9e-31
ViPhOG24118	Emdodecavirus	Genus	5.5e-49
ViPhOG9804	Alphabaculovirus	Genus	4.8e-08
ViPhOG29324	Homburgvirus	Genus	1.3e-83
ViPhOG19154	Pandoravirus	Genus	1e-90
ViPhOG19009	Pandoravirus	Genus	5.1e-30
ViPhOG23872	Kochikohdavirus	Genus	1.1e-22
ViPhOG19136	Pandoravirus	Genus	4.2e-49
ViPhOG4392	Cyprinivirus	Genus	1.9e-05
ViPhOG22287	Omegavirus	Genus	8e-44
ViPhOG4364	Cyprinivirus	Genus	7.8e-38
ViPhOG22645	Gaprivervirus	Genus	1.1e-17
ViPhOG12729	Mastadenovirus	Genus	3.5e-07
ViPhOG24069	Emdodecavirus	Genus	2.7e-47
ViPhOG16736	Tequatrovirus	Genus	1.6e-22
ViPhOG23874	Kochikohdavirus	Genus	1.6e-37
ViPhOG19511	Pandoravirus	Genus	4.2e-17
ViPhOG30163	Cequinquevirus	Genus	9e-11
ViPhOG23421	Gordtnkvirus	Genus	2.6e-59
ViPhOG22014	Alphabaculovirus	Genus	4.2e-16
ViPhOG27844	Kuravirus	Genus	3.8e-34
ViPhOG6521	Megalocytivirus	Genus	3.4e-37
ViPhOG19051	Pandoravirus	Genus	9.1e-55
ViPhOG26678	Krischvirus	Genus	1.8e-36
ViPhOG23924	Emdodecavirus	Genus	2.5e-38
ViPhOG2922	Whispovirus	Genus	1.3e-68
ViPhOG11211	Parapoxvirus	Genus	4e-26
ViPhOG25929	Betaentomopoxvirus	Genus	5.4e-102
ViPhOG29343	Homburgvirus	Genus	8.1e-53
ViPhOG19215	Pandoravirus	Genus	2.6e-15
ViPhOG27225	Coetzeevirus	Genus	4.6e-29
ViPhOG2335	Whispovirus	Genus	1e-62
ViPhOG18569	Siminovitchvirus	Genus	5.4e-38
ViPhOG12658	Mastadenovirus	Genus	2.1e-29
ViPhOG19603	Pandoravirus	Genus	5.8e-96
ViPhOG19007	Pandoravirus	Genus	8.4e-17
ViPhOG8740	Pecentumvirus	Genus	1.3e-38
ViPhOG19334	Pandoravirus	Genus	1.8e-71
ViPhOG24124	Emdodecavirus	Genus	2.3e-76
ViPhOG30739	Lightbulbvirus	Genus	2.4e-125
ViPhOG2707	Whispovirus	Genus	1.9e-42
ViPhOG10346	Firehammervirus	Genus	5.2e-63
ViPhOG18955	Pandoravirus	Genus	9e-76
ViPhOG19376	Pandoravirus	Genus	2.3e-69
ViPhOG19114	Pandoravirus	Genus	8.6e-36
ViPhOG3226	Alphabaculovirus	Genus	1.7e-29
ViPhOG2805	Whispovirus	Genus	1.6e-70
ViPhOG4276	Cyprinivirus	Genus	0.00012
ViPhOG8977	Cytomegalovirus	Genus	2.7e-24
ViPhOG13029	Schizotequatrovirus	Genus	6.3e-47
ViPhOG22165	Betabaculovirus	Genus	8.9e-40
ViPhOG17780	Mimivirus	Genus	1.4e-29
ViPhOG29654	Seunavirus	Genus	1.8e-34
ViPhOG26610	Krischvirus	Genus	1.3e-53
ViPhOG19111	Pandoravirus	Genus	9.1e-24
ViPhOG2586	Whispovirus	Genus	2.6e-20
ViPhOG27813	Betalipothrixvirus	Genus	3.2e-106
ViPhOG23876	Kochikohdavirus	Genus	1.4e-39
ViPhOG19040	Pandoravirus	Genus	2.5e-73
ViPhOG19236	Pandoravirus	Genus	4.7e-102
ViPhOG8965	Cytomegalovirus	Genus	6e-65
ViPhOG25758	Betabaculovirus	Genus	5.5e-26
ViPhOG25903	Betaentomopoxvirus	Genus	4.6e-22
ViPhOG29300	Homburgvirus	Genus	1.7e-91
ViPhOG19233	Pandoravirus	Genus	2.5e-17
ViPhOG22978	Sitaravirus	Genus	1.2e-26
ViPhOG3544	Avipoxvirus	Genus	1.3e-19
ViPhOG20154	Marseillevirus	Genus	5.5e-33
ViPhOG21698	Cheoctovirus	Genus	4.6e-39
ViPhOG11759	Aviadenovirus	Genus	2.4e-87
ViPhOG30729	Homburgvirus	Genus	1.4e-52
ViPhOG24119	Emdodecavirus	Genus	4e-40
ViPhOG21042	Badnavirus	Genus	3.7e-24
ViPhOG20160	Marseillevirus	Genus	1.6e-30
ViPhOG26554	Xipdecavirus	Genus	2.3e-51
ViPhOG12932	Schizotequatrovirus	Genus	5.1e-24
ViPhOG9004	Cytomegalovirus	Genus	5.6e-82
ViPhOG26423	Vidavervirus	Genus	2.7e-19
ViPhOG20415	Marseillevirus	Genus	6.5e-07
ViPhOG2387	Whispovirus	Genus	4.8e-31
ViPhOG24589	Slopekvirus	Genus	6e-36
ViPhOG25872	Betaentomopoxvirus	Genus	1.5e-30
ViPhOG28008	Barnyardvirus	Genus	1.3e-15
ViPhOG18981	Pandoravirus	Genus	1.6e-183
ViPhOG25846	Betaentomopoxvirus	Genus	6.1e-13
ViPhOG13066	Schizotequatrovirus	Genus	4e-43
ViPhOG29332	Homburgvirus	Genus	3.5e-141
ViPhOG8414	Alphatectivirus	Genus	2.2e-37
ViPhOG19202	Pandoravirus	Genus	2.1e-49
ViPhOG26663	Krischvirus	Genus	4.7e-61
ViPhOG19502	Pandoravirus	Genus	0.00017
ViPhOG23928	Emdodecavirus	Genus	6e-63
ViPhOG30825	Helsingorvirus	Genus	3.9e-54
ViPhOG2631	Whispovirus	Genus	3.5e-56
ViPhOG26397	Vidavervirus	Genus	1.9e-61
ViPhOG19336	Pandoravirus	Genus	5.1e-34
ViPhOG21820	Cyprinivirus	Genus	1e-07
ViPhOG18682	Jimmervirus	Genus	5.1e-46
ViPhOG2597	Whispovirus	Genus	3.8e-49
ViPhOG22925	Sitaravirus	Genus	3.3e-58
ViPhOG14996	Prasinovirus	Genus	3.6e-39
ViPhOG18571	Siminovitchvirus	Genus	1.9e-26
ViPhOG19216	Pandoravirus	Genus	3.1e-73
ViPhOG19178	Pandoravirus	Genus	4.9e-16
ViPhOG2622	Whispovirus	Genus	1.3e-53
ViPhOG18094	Andromedavirus	Genus	3e-12
ViPhOG19613	Pandoravirus	Genus	2.5e-138
ViPhOG18556	Siminovitchvirus	Genus	2.9e-77
ViPhOG27944	Barnyardvirus	Genus	2e-32
ViPhOG25867	Betaentomopoxvirus	Genus	1.8e-63
ViPhOG6465	Alphatectivirus	Genus	2e-28
ViPhOG15408	Mimivirus	Genus	1e-09
ViPhOG18915	Pandoravirus	Genus	2.4e-149
ViPhOG4288	Cyprinivirus	Genus	4.6e-21
ViPhOG10201	Mastadenovirus	Genus	7e-28
ViPhOG19092	Pandoravirus	Genus	4.4e-120
ViPhOG29353	Homburgvirus	Genus	1.6e-31
ViPhOG29340	Homburgvirus	Genus	6.2e-42
ViPhOG6494	Mardivirus	Genus	2.8e-73
ViPhOG20627	Alphabaculovirus	Genus	9.5e-28
ViPhOG19345	Pandoravirus	Genus	6.1e-86
ViPhOG12728	Mastadenovirus	Genus	1.8e-27
ViPhOG23990	Emdodecavirus	Genus	1.3e-48
ViPhOG23951	Emdodecavirus	Genus	8.5e-52
ViPhOG19153	Pandoravirus	Genus	0.0
ViPhOG30962	Bequatrovirus	Genus	8.6e-38
